block_code,estate,division,division_lama
D041A,DBE,DBE005,DBE05
D042A,DBE,DBE005,DBE05
D043A,DBE,DBE005,DBE05
D043B,DBE,DBE005,DBE05
E037A,DBE,DBE005,DBE05
E037B,DBE,DBE005,DBE05
E038A,DBE,DBE005,DBE05
E039A,DBE,DBE005,DBE05
E040A,DBE,DBE005,DBE05
E041A,DBE,DBE005,DBE05
E042A,DBE,DBE005,DBE05
E043A,DBE,DBE005,DBE05
E043B,DBE,DBE005,DBE05
E044A,DBE,DBE005,DBE05
F035A,DBE,DBE005,DBE05
F036A,DBE,DBE005,DBE05
F037A,DBE,DBE005,DBE05
F038A,DBE,DBE005,DBE05
F039A,DBE,DBE005,DBE05
F040A,DBE,DBE005,DBE05
F041A,DBE,DBE005,DBE05
F042A,DBE,DBE005,DBE05
F043A,DBE,DBE005,DBE05
F044A,DBE,DBE005,DBE05
F045A,DBE,DBE005,DBE05
